Date,Expiration,Strike,CallPut,Bid,Ask,Rate,Spot,Fwd,TTE
2019-12-06,2020-01-17,8050.0,P,72.6,73.7,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8075.0,C,410.39999,414.20001,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8075.0,P,76.9,78.1,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8100.0,C,390.10001,393.79999,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8100.0,P,81.4,82.8,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8125.0,C,370.0,373.60001,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8125.0,P,86.2,87.7,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8150.0,C,350.20001,353.70001,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8150.0,P,91.3,92.7,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8175.0,C,330.70001,334.20001,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8175.0,P,96.7,98.1,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8200.0,C,311.60001,314.89999,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8200.0,P,102.5,103.8,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8225.0,C,292.79999,296.10001,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8225.0,P,108.5,109.8,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8250.0,C,274.29999,277.39999,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8250.0,P,114.9,116.2,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8275.0,C,256.20001,259.29999,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8275.0,P,121.7,123.0,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8300.0,C,238.5,241.5,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8300.0,P,129.0,130.2,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8325.0,C,221.3,224.0,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8325.0,P,136.2,137.8,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8350.0,C,204.5,207.2,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8350.0,P,144.3,145.89999,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8375.0,C,187.8,190.7,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8375.0,P,152.8,154.5,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8400.0,C,172.3,174.8,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8400.0,P,162.0,163.7,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8425.0,C,157.5,159.2,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8425.0,P,170.7,173.8,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8450.0,C,142.89999,144.7,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8450.0,P,180.89999,184.0,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8475.0,C,129.0,130.60001,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8475.0,P,191.8,195.2,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8500.0,C,115.9,117.3,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8500.0,P,203.3,206.8,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
2019-12-06,2020-01-17,8525.0,C,103.4,104.7,1.8915000000000002,8397.23242,8410.82353192063,0.11380707
